id,popularity,revenue,genre
135397,32.985763,1513528810,Action
76341,28.419936,378436354,Action
262500,13.112507,295238201,Adventure
140607,11.173104,2068178225,Action
168259,9.335014,1506249360,Action
281957,9.1107,532950503,Western
87101,8.654359,440603537,Science Fiction
286217,7.6674,595380321,Drama
211672,7.404165,1156730962,Family
150540,6.326804,853708609,Comedy
206647,6.200282,880674609,Action
76757,6.189369,183987723,Science Fiction
264660,6.118847,36869414,Drama
257344,5.984995,243637091,Action
99861,5.944927,1405035767,Action
273248,5.8984,155760117,Crime
260346,5.749758,325771424,Crime
102899,5.573184,518602163,Science Fiction
150689,5.556818,542351353,Romance
131634,5.476958,650523427,War
158852,5.462138,209035668,Action
307081,5.337064,91709827,Action
254128,4.907832,470490832,Action
216015,4.710402,569651467,Drama
318846,4.648046,133346506,Comedy
177677,4.566713,682330139,Action
214756,4.564549,215863606,Comedy
207703,4.503789,403802136,Crime
314365,4.062293,88346473,Drama
294254,3.968891,311256926,Action
280996,3.927333,29355203,Mystery
198184,3.899557,102069268,Crime
254470,3.877764,287506194,Comedy
296098,3.64821,162610473,Thriller
257445,3.644541,150170815,Adventure
264644,3.557846,35401758,Drama
339527,3.358321,22354572,Crime
105864,3.339135,331926147,Adventure
241554,3.23737,71561644,Action
167073,3.227329,62076141,Drama
277216,3.202719,201634991,Drama
274854,3.080505,140396650,Fantasy
321697,3.079522,34441873,History
203801,3.053421,108145109,Comedy
293863,3.025852,42629776,Fantasy
325348,3.023253,14333790,Action
228161,2.976436,368871007,Fantasy
286565,2.968254,85512300,Drama
265208,2.93234,0,Thriller
254320,2.885126,9064511,Thriller
258480,2.883233,40272135,Romance
257211,2.814802,194564672,Comedy
253412,2.798017,203427584,Adventure
274479,2.793297,101134059,Comedy
257088,2.614499,133718711,Action
295964,2.584264,36606743,Drama
238615,2.578919,30523226,Science Fiction
210860,2.575711,30418560,Comedy
306819,2.557859,64191523,Drama
201088,2.550747,17752940,Mystery
273481,2.487849,84025816,Action
166424,2.487042,167977596,Action
310131,2.46449,40423945,Mystery
238713,2.404473,235666219,Action
256591,2.395366,153962963,Romance
