id,release_year,revenue,genre
135397,2015,1513528810,Action
76341,2015,378436354,Action
262500,2015,295238201,Adventure
140607,2015,2068178225,Action
168259,2015,1506249360,Action
281957,2015,532950503,Western
87101,2015,440603537,Science Fiction
286217,2015,595380321,Drama
211672,2015,1156730962,Family
150540,2015,853708609,Comedy
206647,2015,880674609,Action
76757,2015,183987723,Science Fiction
264660,2015,36869414,Drama
257344,2015,243637091,Action
99861,2015,1405035767,Action
273248,2015,155760117,Crime
260346,2015,325771424,Crime
102899,2015,518602163,Science Fiction
150689,2015,542351353,Romance
131634,2015,650523427,War
158852,2015,209035668,Action
307081,2015,91709827,Action
254128,2015,470490832,Action
216015,2015,569651467,Drama
318846,2015,133346506,Comedy
177677,2015,682330139,Action
214756,2015,215863606,Comedy
207703,2015,403802136,Crime
314365,2015,88346473,Drama
294254,2015,311256926,Action
280996,2015,29355203,Mystery
198184,2015,102069268,Crime
254470,2015,287506194,Comedy
296098,2015,162610473,Thriller
257445,2015,150170815,Adventure
264644,2015,35401758,Drama
339527,2015,22354572,Crime
105864,2015,331926147,Adventure
241554,2015,71561644,Action
167073,2015,62076141,Drama
277216,2015,201634991,Drama
274854,2015,140396650,Fantasy
321697,2015,34441873,History
203801,2015,108145109,Comedy
293863,2015,42629776,Fantasy
325348,2015,14333790,Action
228161,2015,368871007,Fantasy
286565,2015,85512300,Drama
265208,2015,0,Thriller
254320,2015,9064511,Thriller
258480,2015,40272135,Romance
257211,2015,194564672,Comedy
253412,2015,203427584,Adventure
274479,2015,101134059,Comedy
257088,2015,133718711,Action
295964,2015,36606743,Drama
238615,2015,30523226,Science Fiction
210860,2015,30418560,Comedy
306819,2015,64191523,Drama
201088,2015,17752940,Mystery
273481,2015,84025816,Action
166424,2015,167977596,Action
310131,2015,40423945,Mystery
238713,2015,235666219,Action
256591,2015,153962963,Romance
249070,2015,82347656,Action
205775,2015,93820758,Thriller
334074,2015,0,Crime
312221,2015,137935567,Drama
271718,2015,140795793,Comedy
333352,2015,32848185,Drama
276907,2015,42972994,Crime
284289,2015,45895,Thriller
266647,2015,128388320,Adventure
347096,2015,0,Action
308369,2015,0,Comedy
227973,2015,246233113,Adventure
321741,2015,48623572,Drama
296100,2015,52395996,Comedy
263472,2015,5214043,Drama
228205,2015,63013281,Romance
159824,2015,466183544,Animation
333348,2015,24000000,Family
285783,2015,61181942,Adventure
290764,2015,1863315,Action
296099,2015,104384188,Adventure
243688,2015,95437994,Horror
287424,2015,187112,Horror
301875,2015,2000000,Drama
181283,2015,3324330,Crime
328425,2015,58978653,Thriller
274167,2015,240360392,Comedy
370687,2015,0,Fantasy
307663,2015,0,Thriller
309809,2015,97571250,Adventure
258509,2015,233755553,Adventure
298382,2015,18340000,Drama
272693,2015,43528634,Romance
283445,2015,52882018,Horror
256961,2015,107597242,Action
326359,2015,0,Adventure
254302,2015,0,Action
241251,2015,50163103,Thriller
292040,2015,0,Thriller
188222,2015,49263404,Comedy
252838,2015,79799880,Comedy
273477,2015,14860766,Comedy
298312,2015,98450062,Horror
261023,2015,99775678,Crime
336004,2015,50136,Crime
287903,2015,61548707,Horror
182560,2015,208588,Drama
192141,2015,54418872,Action
308639,2015,17986781,Crime
261392,2015,28208085,Comedy
304357,2015,61619773,Drama
297291,2015,0,Action
266294,2015,105011053,Comedy
227719,2015,32248241,Science Fiction
86828,2015,5189646,Comedy
287948,2015,72629670,Thriller
201085,2015,74679822,Mystery
277355,2015,0,Thriller
264999,2015,122413057,Comedy
146301,2015,78099553,Horror
223485,2015,229094,Romance
294016,2015,8235661,Drama
290751,2015,32189727,Crime
309245,2015,2500431,Comedy
228165,2015,311594032,Family
245706,2015,4719695,Crime
272878,2015,43967255,Adventure
263109,2015,59700000,Family
157827,2015,0,Drama
321751,2015,1702433,Comedy
266396,2015,10664749,Action
277685,2015,62882090,Horror
268920,2015,51680201,Action
280092,2015,104303851,Drama
193687,2015,118483,Drama
300803,2015,0,Action
328589,2015,41387687,Comedy
228066,2015,34227298,Drama
378373,2015,0,Adventure
291270,2015,3759286,Animation
294963,2015,0,Horror
241257,2015,17671101,Horror
245698,2015,0,Drama
353326,2015,11472454,Drama
346808,2015,0,Thriller
250124,2015,1477002,Drama
290637,2015,0,Horror
244458,2015,0,Horror
308504,2015,3643591,Action
314405,2015,0,Romance
282984,2015,27391084,Mystery
157843,2015,0,Drama
275601,2015,41325328,Comedy
290762,2015,0,Comedy
251516,2015,0,Action
304372,2015,60273173,Drama
324807,2015,1936524,Crime
252512,2015,7587485,Drama
257091,2015,106511453,Comedy
228968,2015,0,Drama
347969,2015,0,Comedy
237756,2015,0,Comedy
293646,2015,24902723,History
245168,2015,16002420,Drama
311291,2015,0,Drama
301351,2015,11122090,Drama
248574,2015,6075,Adventure
225728,2015,13192457,History
326425,2015,16775,Action
342474,2015,0,Comedy
277217,2015,0,Music
207936,2015,0,Music
250734,2015,30229977,Romance
249688,2015,3002884,Drama
268238,2015,85978266,Drama
256962,2015,6420319,Comedy
322456,2015,0,Action
302528,2015,1986615,Drama
222936,2015,26250020,Adventure
316002,2015,0,Romance
365806,2015,0,Action
10317,2015,7002261,Drama
334538,2015,0,Drama
306947,2015,231737,Thriller
328901,2015,0,Drama
382517,2015,0,Animation
310133,2015,134552,Thriller
237584,2015,0,Thriller
288036,2015,3214116,Comedy
354110,2015,0,Western
331781,2015,8413144,Documentary
253161,2015,0,Drama
312831,2015,0,Fantasy
316322,2015,0,Family
301846,2015,0,Horror
306745,2015,573335,Romance
332340,2015,0,Romance
292431,2015,695269,Drama
300693,2015,2541554,Drama
333381,2015,0,Thriller
256924,2015,10835752,Comedy
253414,2015,3020664,Comedy
254172,2015,0,Drama
320588,2015,14444999,Comedy
157544,2015,1784763,Thriller
283235,2015,1411927,Drama
243938,2015,12314651,Comedy
86835,2015,0,Romance
254905,2015,143101,Drama
309242,2015,0,Drama
332502,2015,0,Mystery
286192,2015,0,Animation
284674,2015,0,Thriller
360055,2015,0,Action
352179,2015,0,Drama
246127,2015,8034,Drama
338676,2015,0,Drama
330982,2015,0,Mystery
232572,2015,35991087,Drama
112454,2015,0,Horror
243940,2015,64110728,Thriller
321528,2015,0,Action
317744,2015,0,Thriller
300792,2015,0,Adventure
239573,2015,14431253,Comedy
167810,2015,45431,Fantasy
319075,2015,0,Music
316042,2015,0,War
334527,2015,0,Thriller
300153,2015,0,Drama
228203,2015,45710059,Drama
332704,2015,0,Horror
278236,2015,0,Drama
276839,2015,0,Drama
326215,2015,0,Animation
363689,2015,0,Thriller
318256,2015,0,Documentary
299245,2015,42664410,Horror
333344,2015,0,Drama
357096,2015,0,Horror
309299,2015,0,History
314385,2015,3334927,Drama
333596,2015,0,Drama
361042,2015,0,Horror
353686,2015,0,Thriller
318954,2015,1236094,Action
289191,2015,0,Drama
324333,2015,0,Crime
252164,2015,0,Drama
360784,2015,0,Thriller
336313,2015,157768,Fantasy
240483,2015,0,Adventure
321494,2015,0,Action
353595,2015,0,Action
360603,2015,0,TV Movie
264337,2015,0,Action
289716,2015,0,Drama
296065,2015,0,Horror
337029,2015,0,Horror
317952,2015,0,Drama
325358,2015,0,Comedy
272548,2015,0,Comedy
340275,2015,0,Music
309887,2015,0,Comedy
302429,2015,13603453,Music
253331,2015,21571189,Drama
293771,2015,0,Horror
323373,2015,0,Comedy
323027,2015,0,Action
297806,2015,1646788,Drama
253626,2015,316472,Action
354251,2015,0,Fantasy
329637,2015,0,Action
257444,2015,0,Thriller
355338,2015,0,Animation
271736,2015,3286448,Drama
309581,2015,0,Thriller
293970,2015,0,Horror
279690,2015,0,Thriller
364067,2015,0,Comedy
318922,2015,0,Thriller
335077,2015,0,Family
266639,2015,2333684,Drama
274504,2015,0,Thriller
244316,2015,0,Action
352208,2015,0,Documentary
283587,2015,90777,Drama
311539,2015,0,Horror
277713,2015,0,Drama
347945,2015,4505,Thriller
363483,2015,0,Family
344854,2015,0,Thriller
234212,2015,3387000,Thriller
354220,2015,0,Crime
283596,2015,0,Thriller
250225,2015,0,Drama
307479,2015,0,Thriller
339145,2015,0,Drama
323660,2015,0,Fantasy
308638,2015,771317,Drama
359983,2015,0,Family
300155,2015,228136,Thriller
328595,2015,0,Science Fiction
327528,2015,830129,Drama
329540,2015,0,Thriller
306964,2015,0,Horror
360387,2015,0,Adventure
362185,2015,0,Thriller
94365,2015,0,Horror
241855,2015,49970,Horror
322518,2015,0,Thriller
291272,2015,0,Horror
324963,2015,0,Animation
342927,2015,0,Science Fiction
361159,2015,0,Horror
365805,2015,0,Thriller
351964,2015,0,Comedy
362057,2015,0,Drama
137333,2015,0,Thriller
317198,2015,0,TV Movie
57876,2015,0,Horror
339533,2015,0,TV Movie
277546,2015,0,Drama
308457,2015,0,Science Fiction
306482,2015,0,Thriller
362105,2015,0,Comedy
245846,2015,17472,Drama
330112,2015,0,Drama
322766,2015,0,Crime
361931,2015,0,Documentary
318224,2015,0,Documentary
309503,2015,0,Thriller
348811,2015,0,War
310135,2015,0,Adventure
355111,2015,0,Animation
335866,2015,0,Drama
295592,2015,16661077,Animation
335970,2015,0,Comedy
366142,2015,0,Animation
310121,2015,7449681,Drama
361263,2015,0,Drama
324308,2015,494506,Documentary
326923,2015,0,Drama
356842,2015,0,Thriller
339530,2015,0,Science Fiction
331190,2015,2801508,Crime
301729,2015,0,Science Fiction
395883,2015,0,Action
356300,2015,0,Comedy
218784,2015,70958,Science Fiction
310137,2015,0,Thriller
342917,2015,0,Action
79698,2015,0,Action
337960,2015,0,Drama
296130,2015,0,Science Fiction
327418,2015,0,Action
246133,2015,0,Drama
328869,2015,0,Drama
308032,2015,643557,Thriller
329829,2015,0,Drama
330544,2015,0,Drama
299551,2015,0,Horror
207270,2015,0,Thriller
307946,2015,0,Drama
356905,2015,0,Family
318279,2015,2334228,Adventure
345637,2015,0,Animation
284286,2015,3447633,Romance
340816,2015,0,Romance
206197,2015,0,Mystery
331446,2015,0,TV Movie
351901,2015,0,Action
357681,2015,0,Documentary
333657,2015,4444,Drama
336845,2015,0,Drama
343795,2015,4842699,Drama
294562,2015,0,Horror
306197,2015,0,Drama
297556,2015,0,Science Fiction
354743,2015,0,Romance
157422,2015,0,Horror
316885,2015,0,Drama
228973,2015,0,Drama
323967,2015,0,Drama
320048,2015,0,Drama
359305,2015,0,Drama
329004,2015,0,Drama
362180,2015,0,Horror
343284,2015,0,Comedy
243752,2015,0,Romance
291866,2015,0,Horror
330127,2015,0,History
323694,2015,0,Horror
334028,2015,0,Horror
354924,2015,0,Horror
368256,2015,0,Horror
324291,2015,0,Drama
347847,2015,0,Science Fiction
295490,2015,0,Drama
253406,2015,0,Music
291865,2015,0,Horror
334531,2015,0,Drama
324803,2015,0,Thriller
339355,2015,0,Comedy
309304,2015,7087452,Drama
339342,2015,0,Horror
306966,2015,0,Horror
226458,2015,0,Thriller
339148,2015,0,Romance
340684,2015,0,Romance
340968,2015,0,History
347754,2015,0,Horror
326284,2015,0,Action
317144,2015,0,Drama
277558,2015,0,Action
338928,2015,2642899,Documentary
291189,2015,0,Romance
309425,2015,0,Fantasy
287689,2015,0,TV Movie
325189,2015,0,Comedy
298582,2015,0,History
301228,2015,0,Thriller
343934,2015,0,Comedy
296025,2015,0,Drama
371442,2015,0,Comedy
325173,2015,0,Crime
282313,2015,0,Science Fiction
300542,2015,0,Drama
309924,2015,161820,Comedy
348634,2015,0,Comedy
318044,2015,0,Documentary
259958,2015,0,Drama
316715,2015,0,Drama
308027,2015,0,Comedy
279144,2015,0,Documentary
355020,2015,0,Documentary
323665,2015,0,Mystery
358895,2015,30400,Drama
347548,2015,0,Thriller
353345,2015,0,Horror
323370,2015,0,Horror
337958,2015,0,Comedy
333674,2015,0,Drama
301728,2015,0,Horror
366018,2015,0,Romance
256030,2015,0,Horror
356149,2015,0,Horror
300666,2015,0,Drama
347642,2015,0,Horror
373558,2015,0,Documentary
367326,2015,0,Science Fiction
329205,2015,0,Thriller
386501,2015,0,Drama
321769,2015,0,Documentary
251471,2015,0,Documentary
174340,2015,0,Documentary
309298,2015,0,Comedy
285840,2015,0,Mystery
308077,2015,0,Drama
321109,2015,0,Documentary
341886,2015,0,Science Fiction
308024,2015,1100000,Mystery
356216,2015,0,Crime
311615,2015,0,Comedy
333873,2015,0,Documentary
362154,2015,0,Thriller
293941,2015,0,Drama
360203,2015,0,Action
294132,2015,104507,Comedy
301629,2015,0,Comedy
331592,2015,0,Drama
342464,2015,0,Drama
332976,2015,0,Thriller
367551,2015,0,Action
353610,2015,0,Action
316410,2015,0,Thriller
106845,2015,0,Horror
339362,2015,0,Action
323966,2015,0,Crime
354857,2015,0,Comedy
333653,2015,0,TV Movie
323366,2015,0,Thriller
75861,2015,0,Drama
283698,2015,6921,Drama
363889,2015,0,Comedy
329020,2015,0,Horror
323272,2015,67790117,Drama
343921,2015,0,Drama
361671,2015,0,Drama
346494,2015,0,Comedy
321974,2015,0,Documentary
363757,2015,0,Romance
328820,2015,0,Thriller
359255,2015,0,Thriller
355178,2015,0,Comedy
310491,2015,0,Drama
319096,2015,0,Romance
285024,2015,0,Drama
360341,2015,0,Music
329556,2015,0,Action
241927,2015,0,Horror
347751,2015,0,Drama
287692,2015,0,Horror
321668,2015,0,Science Fiction
315024,2015,0,Action
323674,2015,0,Romance
345944,2015,0,Documentary
300686,2015,0,Drama
324253,2015,0,Documentary
395560,2015,0,Drama
312827,2015,28281,Horror
308084,2015,0,Comedy
268725,2015,0,Thriller
308361,2015,0,Drama
327029,2015,0,Action
249916,2015,0,Romance
331161,2015,0,Drama
339065,2015,0,Documentary
244563,2015,0,Drama
360605,2015,0,Fantasy
315855,2015,0,Romance
319152,2015,0,Documentary
369058,2015,0,Romance
347762,2015,0,Horror
325113,2015,0,Drama
336167,2015,0,Mystery
320996,2015,0,Comedy
312797,2015,0,Thriller
312804,2015,0,Drama
339751,2015,0,Documentary
333350,2015,0,Documentary
351043,2015,0,Thriller
