id,popularity,revenue,cast
314405,1.008474,0,Salma Hayek
282984,1.007054,27391084,Emma Stone
157843,0.973316,0,Nicole Kidman
275601,0.956096,41325328,Meryl Streep
290762,0.953647,0,Drew Barrymore
251516,0.953046,0,David Sandberg
304372,0.950793,60273173,Michael Ealy
324807,0.938432,1936524,Tilda Swinton
252512,0.93762,7587485,Ben Stiller
257091,0.927339,106511453,Will Ferrell
228968,0.91704,0,Anthony Hopkins
347969,0.913085,0,Adam Sandler
237756,0.90686,0,Teresa Palmer
293646,0.906036,24902723,Antonio Banderas
245168,0.898296,16002420,Carey Mulligan
311291,0.894477,0,Charlotte Rampling
301351,0.880938,11122090,Zac Efron
248574,0.880268,6075,Hailee Steinfeld
225728,0.874641,13192457,Michael Fassbender
326425,0.872149,16775,Bruce Willis
342474,0.861179,0,Katherine Heigl
277217,0.848748,0,Booboo Stewart
207936,0.843174,0,Joe Manganiello
250734,0.842202,30229977,Carey Mulligan
249688,0.836941,3002884,Jason Segel
268238,0.832487,85978266,Dev Patel
256962,0.829111,6420319,Jakob Salvati
322456,0.821443,0,Nolan North
302528,0.820691,1986615,Christopher Plummer
222936,0.814206,26250020,Bradley Cooper
316002,0.813893,0,Jake Gyllenhaal
365806,0.810667,0,Steve Downes
10317,0.795762,7002261,Sandra Bullock
334538,0.792471,0,Ellen Page
306947,0.787969,231737,Michiel Huisman
328901,0.781809,0,Dakota Fanning
382517,0.773909,0,Garry Chalk
310133,0.77107,134552,Kevin Bacon
237584,0.768138,0,Oscar Isaac
288036,0.758133,3214116,Jason Sudeikis
354110,0.747541,0,Demi Moore
331781,0.738404,8413144,Amy Winehouse
253161,0.7299,0,Mia Wasikowska
312831,0.719407,0,Joseph Mawle
316322,0.714131,0,Britt Irvin
301846,0.707355,0,Ed Speleers
306745,0.706023,573335,Julianne Moore
332340,0.70137,0,Simon Pegg
292431,0.699932,695269,Karl Glusman
300693,0.69957,2541554,Robert Redford
333381,0.696184,0,Rosamund Pike
256924,0.690479,10835752,Al Pacino
253414,0.689579,3020664,Bill Murray
254172,0.689571,0,Amanda Seyfried
320588,0.673792,14444999,Sally Field
157544,0.669351,1784763,Olivia Taylor Dudley
283235,0.661471,1411927,Andrew Garfield
243938,0.661163,12314651,Rob Corddry
86835,0.654335,0,Christian Bale
254905,0.654046,143101,Al Pacino
309242,0.649628,0,Ryan Reynolds
332502,0.644786,0,Caity Lotz
286192,0.640151,0,Napua Greig
284674,0.638557,0,Norman Reedus
360055,0.633608,0,Matthew Reese
352179,0.629561,0,Adrien Brody
246127,0.607124,8034,James Franco
338676,0.606113,0,Matthew Fox
330982,0.604928,0,Bérénice Bejo
232572,0.602165,35991087,Robert Redford
112454,0.599751,0,Peter Stormare
243940,0.599655,64110728,Olivia Wilde
321528,0.589472,0,Jason O'Mara
317744,0.586735,0,Dermot Mulroney
300792,0.584363,0,Elon Musk
239573,0.577814,14431253,Vince Vaughn
167810,0.570744,45431,Christina Hendricks
319075,0.569443,0,Kurt Cobain
316042,0.561032,0,Paul Gross
334527,0.560744,0,Dan Stevens
300153,0.560423,0,Robert Pattinson
228203,0.553238,45710059,Kevin Costner
332704,0.548587,0,Adrien Brody
278236,0.547827,0,Asa Butterfield
276839,0.546458,0,Katherine Heigl
326215,0.542568,0,Tara Flynn
363689,0.5327,0,Jodelle Ferland
318256,0.532239,0,Rachel Bernard
299245,0.532205,42664410,Cassidy Gifford
333344,0.52985,0,Matthew Broderick
357096,0.527957,0,Sarah Butler
309299,0.526642,0,Peter Sarsgaard
314385,0.524315,3334927,Angelina Jolie
333596,0.52025,0,C. Thomas Howell
361042,0.516954,0,Stephanie Hunt
353686,0.515401,0,Isla Fisher
318954,0.514735,1236094,Andrew Cheney
289191,0.513386,0,Kim Basinger
324333,0.50732,0,Robert Duvall
252164,0.504828,0,Danny Huston
360784,0.502489,0,Alexander Skarsgård
336313,0.497265,157768,Mila Kunis
240483,0.486351,0,Gillian Anderson
321494,0.482422,0,RZA
353595,0.47784,0,Mark Hamill
360603,0.476341,0,Danica McKellar
264337,0.475473,0,Carlos PenaVega
289716,0.474788,0,Haley Joel Osment
296065,0.474626,0,Juliana Harkavy
337029,0.473344,0,Carrie-Anne Moss
317952,0.471393,0,Robert Hetrick
325358,0.471091,0,Alex Ashbaugh
272548,0.470991,0,Rupert Grint
340275,0.470124,0,Teyonah Parris
309887,0.467556,0,Danny Trejo
302429,0.465707,13603453,Alan Cumming
253331,0.46209,21571189,Kevin Costner
293771,0.459597,0,Jesse Metcalfe
323373,0.454151,0,Milo Cawthorne
323027,0.452939,0,Benjamin Bratt
297806,0.450872,1646788,Tom Hiddleston
253626,0.45016,316472,Ethan Hawke
354251,0.444265,0,Kate Beahan
329637,0.444193,0,Walter Koenig
257444,0.443525,0,David Morse
355338,0.442835,0,Amy Poehler
271736,0.442427,3286448,Ben Foster
309581,0.442067,0,Viola Davis
293970,0.441882,0,Taissa Farmiga
279690,0.441402,0,Henry Rollins
364067,0.439598,0,Bill Murray
318922,0.438409,0,Nicholas Hoult
335077,0.437088,0,Garrett Coffey
266639,0.435582,2333684,Aubrey Peeples
274504,0.433073,0,James Franco
244316,0.429892,0,James Marsden
352208,0.427116,0,Michael Moore
283587,0.424813,90777,Idris Elba
311539,0.423161,0,William Shatner
277713,0.42179,0,Peter Mullan
347945,0.429756,4505,Chad McKnight
363483,0.417191,0,Katrina Law
344854,0.415041,0,Anna Lise Phillips
234212,0.414913,3387000,Maria Bello
354220,0.370258,0,Kal Penn
283596,0.412877,0,Robert Carlyle
250225,0.412503,0,Sidse Babett Knudsen
307479,0.409698,0,Katharine Isabelle
339145,0.405095,0,Emily VanCamp
323660,0.404511,0,Casper Van Dien
308638,0.402236,771317,Jack Black
359983,0.250209,0,Max Charles
300155,0.399947,228136,Sarah Gadon
328595,0.398982,0,Jessica Rothe
327528,0.396791,830129,Ethan Hawke
329540,0.394466,0,Mike Mizanin
306964,0.393642,0,Keir Gilchrist
360387,0.393566,0,Mickey Rourke
362185,0.391326,0,Mischa Barton
94365,0.386529,0,Dieter Laser
241855,0.383406,49970,Lou Taylor Pucci
322518,0.383183,0,Miranda Cosgrove
291272,0.382997,0,Barbara Crampton
324963,0.71289,0,Haviland Stillwell
342927,0.378836,0,Karrueche Tran
361159,0.37668,0,Ed Quinn
365805,0.411416,0,Anna Hutchison
351964,0.374853,0,Lyndsy Fonseca
362057,0.372889,0,Troian Bellisario
137333,0.371145,0,Mark Webber
317198,0.370148,0,Laura Marano
57876,0.369529,0,Reid Warner
339533,0.369108,0,Jhey Castles
277546,0.36817,0,Nicolas Cage
308457,0.367617,0,Jacqueline Kim
306482,0.367434,0,Vincent Cassel
362105,0.36603,0,Dove Cameron
245846,0.365901,17472,Nicole Kidman
330112,0.329164,0,Mickey Rourke
322766,0.359826,0,Rob Lowe
361931,0.357654,0,Cristiano Ronaldo
318224,0.357614,0,Paul Haggis
309503,0.357567,0,Patrick Wilson
348811,0.356519,0,Luke Goss
310135,0.354624,0,Munro Chambers
355111,0.350858,0,Kelly Sheridan
335866,0.350599,0,Julie Benz
295592,0.348306,16661077,Tina Fey
335970,0.347797,0,David Spade
366142,0.344994,0,Pierre Coffin
310121,0.344549,7449681,Blythe Danner
361263,0.34253,0,Tom Selleck
324308,0.574031,494506,Bob Belleville
326923,0.339297,0,Spencer Locke
356842,0.511431,0,Clémence Poésy
339530,0.336453,0,Michael Gross
331190,0.336107,2801508,Kate Mara
301729,0.335941,0,Jai Koutrae
395883,0.333656,0,Alec Baldwin
356300,0.332921,0,Jewel Staite
218784,0.330968,70958,Nicholas Braun
310137,0.330484,0,Tina Ivlev
342917,0.329776,0,Roger Craig Smith
79698,0.329109,0,Josh Hartnett
337960,0.327373,0,Ryan Corr
296130,0.327066,0,Lance Henriksen
327418,0.32705,0,Chris Diamantopoulos
246133,0.324666,0,Gregg Turkington
328869,0.324515,0,Olivia Wilde
308032,0.324,643557,Billy Crudup
329829,0.390188,0,Malin Buska
330544,0.322653,0,Queen Latifah
299551,0.32264,0,William Mapother
207270,0.30035,0,Mischa Barton
307946,0.318459,0,Sarah Silverman
356905,0.315196,0,Alan Tudyk
318279,0.314199,2334228,Conrad Anker
284286,0.307395,3447633,Patricia Clarkson
340816,0.305916,0,Patrick Stewart
206197,0.302474,0,Kara Hayward
331446,0.301343,0,Ian Ziering
351901,0.300128,0,Jonathan Good
357681,0.198522,0,Brad Pitt
333657,0.299427,4444,Jerry Ferrara
336845,0.298861,0,Taryn Manning
343795,0.298751,4842699,Kate Bosworth
294562,0.298628,0,Steve Guttenberg
306197,0.295946,0,Cobie Smulders
297556,0.404363,0,Sean Astin
354743,0.26501,0,Richard Madden
157422,0.292437,0,Sienna Guillory
316885,0.291244,0,Hannah Murray
228973,0.290424,0,Missy Peregrym
323967,0.289526,0,Andrew J. West
320048,0.288598,0,Ashley Benson
359305,0.309811,0,David Thewlis
329004,0.286266,0,Mia Goth
362180,0.28337,0,Fergus Riordan
343284,0.283194,0,Maria Thayer
243752,0.282237,0,Alison Brie
291866,0.280878,0,Kathryn Prescott
330127,0.278583,0,Lea Thompson
323694,0.277844,0,Abigail Hardingham
334028,0.277613,0,Grace Phipps
354924,0.277035,0,Jed Brophy
368256,0.272995,0,Johnny Messner
324291,0.270842,0,Adam Pally
347847,0.270786,0,Jamie Kennedy
295490,0.171829,0,Jake Johnson
253406,0.264997,0,Ethan Hawke
291865,0.261932,0,Niamh Algar
334531,0.261717,0,Aaron Eckhart
324803,0.260045,0,Jeremy Sisto
339355,0.202673,0,Mark Feuerstein
309304,0.259794,7087452,Lily Tomlin
339342,0.097514,0,Robert LaSardo
306966,0.256542,0,Maiara Walsh
226458,0.256286,0,Stephen Lang
339148,0.255458,0,Jamie Chung
340684,0.250866,0,Jonathan Gordon
340968,0.249595,0,Oscar Isaac
347754,0.248964,0,Julianne Hough
326284,0.24828,0,Jean-Claude Van Damme
317144,0.247595,0,Maisie Williams
277558,0.247589,0,Abigail Breslin
338928,0.247426,2642899,Malala Yousafzai
291189,0.246609,0,Zooey Deschanel
309425,0.245948,0,Mira Sorvino
287689,0.24495,0,Andy Samberg
363869,0.244648,0,Diego Abatantuono
325189,0.243691,0,Ross Lynch
298582,0.243321,0,Ana Golja
301228,0.242078,0,Elliot Cowan
343934,0.242,0,Graham Phillips
296025,0.241284,0,Juno Temple
371442,0.239558,0,Patrick Renna
325173,0.239496,0,Scott Adkins
282313,0.154846,0,Conal Byrne
300542,0.236709,0,Elisabeth Moss
309924,0.232354,161820,Portia Doubleday
348634,0.231337,0,Candace Cameron Bure
318044,0.22758,0,Nina Simone
259958,0.22537,0,Mary Elizabeth Winstead
316715,0.224797,0,Anthony LaPaglia
308027,0.222636,0,Jemaine Clement
279144,0.221502,0,Jon Schnepp
323665,0.133809,0,Louisa Krause
358895,0.219603,30400,Nick Robinson
347548,0.218787,0,Louise Brealey
353345,0.218528,0,Sarah Lind
323370,0.21789,0,Ali Larter
337958,0.355707,0,Michael Caton
333674,0.217288,0,Beth Riesgraf
301728,0.215864,0,Daniel MacPherson
366018,0.215386,0,Lacey Chabert
256030,0.214563,0,Lachlan Buchanan
356149,0.212872,0,Lee Bane
300666,0.21254,0,Josh Duhamel
347642,0.211768,0,Elma Begovic
373558,0.209036,0,Taylor Swift
367326,0.208491,0,Chris Wedge
329205,0.230913,0,Jennifer Armour
386501,0.207366,0,James Lafferty
321769,0.207133,0,Gavin Andresen
251471,0.206155,0,Jason Bateman
174340,0.205318,0,Mel Brooks
309298,0.204356,0,Sam Rockwell
285840,0.203224,0,Paz de la Huerta
308077,0.299226,0,Sebastián Silva
341886,0.260306,0,Casper Van Dien
308024,0.335255,1100000,Adam Scott
356216,0.19957,0,Kevin Leslie
311615,0.198261,0,Anthony Padilla
333873,0.197788,0,Ridley Scott
362154,0.197239,0,Andy Lau
293941,0.195324,0,Dakota Blue Richards
360203,0.253157,0,Josh Duhamel
294132,0.193323,104507,Cobie Smulders
301629,0.193063,0,Judy Greer
331592,0.19254,0,Thomas Stroppel
342464,0.191534,0,AnnaSophia Robb
332976,0.189135,0,Steven Seagal
367551,0.28365,0,Stephen Dorff
353610,0.270408,0,Wes Studi
316410,0.334085,0,Charisma Carpenter
106845,0.13631,0,Roger R. Cross
339362,0.181987,0,Brett Goldstein
323966,0.179636,0,Mickey Rourke
354857,0.087904,0,J.G. Quintel
333653,0.176744,0,Heather Graham
323366,0.176463,0,Larry Fessenden
75861,0.253949,0,Kat Dennings
283698,0.172245,6921,Adam Driver
363889,0.170743,0,Robert Englund
329020,0.170566,0,Christopher Lee
323272,0.731022,67790117,Priscilla C. Shirer
343921,0.168354,0,Will Ferrell
361671,0.129455,0,Robert De Niro
346494,0.16414,0,Alex Ozerov
321974,0.162526,0,Janis Joplin
363757,0.162465,0,Riccardo Scamarcio
328820,0.158311,0,David Chisum
359255,0.158021,0,Elise Couture
355178,0.157172,0,Amy Schumer
310491,0.156851,0,Jack Reynor
319096,0.154161,0,Yaya DaCosta
285024,0.153023,0,Arielle Holmes
360341,0.150713,0,Keith Richards
329556,0.14964,0,Sterling Knight
241927,0.14811,0,Chloe Rose
347751,0.147319,0,PJ McCabe
287692,0.146266,0,Tonya Kay
321668,0.145945,0,Robert Brettenaugh
315024,0.145489,0,Ray Wise
323674,0.270378,0,Taissa Farmiga
345944,0.144639,0,Chris Farley
300686,0.143703,0,Theo Ikummaq
324253,0.143042,0,Dave Grohl
395560,0.142759,0,Edmund Kingsley
312827,0.121594,28281,Kate Angus
308084,0.266117,0,Kitana Kiki Rodriguez
268725,0.139527,0,Shelby Young
308361,0.139356,0,Saoirse Ronan
327029,0.138353,0,Katee Sackhoff
249916,0.138068,0,Desiree Akhavan
331161,0.236145,0,Sarah Hyland
339065,0.137772,0,Vandana Shiva
244563,0.137133,0,Rinko Kikuchi
360605,0.136098,0,Rowan Blanchard
315855,0.135554,0,Roy Dupuis
319152,0.135074,0,Shannon Whisnant
369058,0.133921,0,Karissa Staples
347762,0.131739,0,Heather Morris
325113,0.129104,0,Jimmy Bennett
336167,0.127432,0,Judd Nelson
320996,0.126594,0,Iliza Shlesinger
312797,0.126187,0,Scott Glenn
312804,0.124784,0,Christopher Abbott
339751,0.124481,0,Martin Scorsese
351043,0.137954,0,Kate Bosworth
295595,0.11303,0,Kurt Cobain
371758,0.112284,0,Maeve Dermody
317981,0.11096,0,Fran Kranz
309889,0.110431,0,Jeremy Sumpter
333103,0.110136,0,Kevin Hart
263105,0.11004,0,Michael Welch
319076,0.109689,0,Marlon Brando
309063,0.138559,0,Justin Armstrong
278247,0.10808,0,David Henrie
355131,0.108072,0,Tuppence Middleton
332839,0.106757,0,Bella Thorne
367215,0.106091,0,Sammy Silverwatch
261860,0.213957,0,Marion Cotillard
362434,0.101543,0,Barry Watson
371759,0.068741,0,Peter Capaldi
316761,0.101426,0,Barry Crimmins
341077,0.101155,0,Kaya Scodelario
321160,0.10091,0,Regina Hall
330037,0.099678,0,Akshay Kumar
347944,0.09779,0,Ryan Simpkins
373977,0.031635,0,Mike Vogel
279972,0.097214,0,Ray Wise
306952,0.096624,0,Victoria Justice
339060,0.096299,0,Nathan Stevens
362439,0.093462,0,Chris Schellenger
355600,0.093212,0,Shye Ben Tzur
346170,0.100069,0,Kian Lawley
308447,0.090238,0,Jeff Bergman
348035,0.090045,0,Chris Tucker
298032,0.088912,0,Maiara Walsh
371833,0.088764,0,Rafe Spall
295886,0.083912,0,Keke Palmer
300654,0.283128,0,Bruce Greenwood
365717,0.082569,0,Leonardo DiCaprio
321594,0.082444,0,Louis C.K.
307931,0.081956,1301696,Bhagavan Angulo
340247,0.156386,0,Kent Moran
326665,0.08182,0,Aziz Ansari
332706,0.080974,0,Zosia Mamet
333377,0.080754,44695,Noam Chomsky
275696,0.079491,0,Amber Tamblyn
326247,0.078363,0,Emily Goss
333287,0.077836,0,Adam Pally
318973,0.077252,0,Craig Cobb
273899,0.076109,187674,Jeremy Irvine
321039,0.190385,0,Troy Baker
345468,0.073883,0,Matt Mercer
269033,0.070776,0,Collin Blackard
323435,0.061776,0,Kiernan Shipka
318225,0.0608,0,Tig Notaro
363480,0.059943,0,Shenae Grimes
291290,0.055242,0,Jonathan Bennett
352552,0.054828,0,Amy Poehler
343981,0.052542,0,Paul Gascoigne
366929,0.052217,0,Bradley Cooper
341051,0.028725,0,Sean McGrath
319067,0.051262,0,Gore Vidal
332177,0.051107,0,Dean Cain
254800,0.049351,0,Julie Warner
291151,0.048863,0,Lorenza Izzo
299780,0.046453,0,Jonathan Pryce
348296,0.03884,0,Jack Whitehall
357974,0.038804,0,Whitney Moore
347258,0.037487,0,Paul O'Brien
312793,0.037147,0,Tim Ogletree
340361,0.036987,0,Jean Rochefort
306943,0.079539,0,Victoria Justice
324325,0.034534,0,Anais Bordier
321640,0.033378,0,Robert Durst
309919,0.056244,0,Bella Heathcote
303867,0.032678,0,Julia Pott
325365,0.030819,0,Dhafir Harris
330916,0.030113,0,Charlie Plummer
273599,0.030005,0,Leon Cain
333620,0.028082,0,Amy Pietz
325843,0.026797,0,Cameron Dallas
253303,0.025288,13684,Joshua Burge
356846,0.025252,0,Daniel Radcliffe
331501,0.023026,0,Natalia Tena
329289,0.019804,0,Alexandra Breckenridge
334682,0.019133,0,Misty Copeland
356335,0.018224,0,Tim McVey
339928,0.017625,732655,Paris Warner
367735,0.01705,0,John Mulaney
266764,0.014647,0,Ravi Patel
328346,0.030371,0,Rob Lowe
333346,0.00392,0,Russell Brand
157336,24.949134,621752480,Matthew McConaughey
118340,14.311205,773312399,Chris Pratt
100402,12.971027,714766572,Chris Evans
245891,11.422751,78739897,Keanu Reeves
131631,10.739009,752100229,Jennifer Lawrence
122917,10.174599,955119788,Martin Freeman
177572,8.691294,652105443,Scott Adsit
205596,8.110711,233555708,Benedict Cumberbatch
198663,7.137273,348319861,Dylan O'Brien
194662,6.907148,103215094,Michael Keaton
210577,6.438727,369330363,Ben Affleck
228150,6.415818,211817906,Brad Pitt
181533,6.286692,349424282,Ben Stiller
157350,6.14502,288747895,Shailene Woodley
127585,6.052479,746000000,Hugh Jackman
240832,5.947136,463360063,Scarlett Johansson
98566,5.787396,477200000,Megan Fox
225886,5.701683,126069509,Cameron Diaz
242582,5.522641,38697217,Jake Gyllenhaal
91314,4.983782,245500000,Mark Wahlberg
120467,4.93082,174600318,Ralph Fiennes
244786,4.780419,13993093,Miles Teller
119450,4.452507,708200000,Andy Serkis
156022,4.145209,192330738,Denzel Washington
227159,4.105685,106645357,Jason Bateman
102382,4.101979,705717432,Andrew Garfield
137113,3.990452,370541256,Tom Cruise
228967,3.989231,11305175,James Franco
190859,3.863074,542307423,Bradley Cooper
147441,3.81374,268031828,Christian Bale
124905,3.689601,529076069,Aaron Taylor-Johnson
102651,3.582315,758410378,Angelina Jolie
254904,3.573028,32556119,Pierce Brosnan
242512,3.489314,102529779,Olivia Cooke
82702,3.489106,609123048,Jay Baruchel
270303,3.393741,13500000,Maika Monroe
138103,3.34625,206172544,Sylvester Stallone
137106,3.327799,469160692,Will Arnett
72784,3.280948,0,Karl Urban
68737,3.260581,114178613,Jeff Bridges
266856,3.170271,121201940,Eddie Redmayne
193893,3.14993,136621271,Jake Johnson
49017,3.028769,215529201,Luke Evans
270946,3.007018,373552094,Tom McGrath
224141,2.996038,212902372,Meryl Streep
53182,2.979181,337580051,Sullivan Stapleton
227156,2.881991,66980456,Jeff Bridges
187017,2.805019,188441614,Jonah Hill
169917,2.777996,53181600,Liam Neeson
116149,2.721864,259207227,Nicole Kidman
284276,2.692691,2360281,Jennifer Aniston
212778,2.67235,45967935,Jon Favreau
238636,2.611251,108782847,Frank Grillo
218043,2.601775,19682924,Nicolas Cage
85350,2.595951,44349000,Ellar Coltrane
241239,2.576396,12007070,Oscar Isaac
184315,2.549403,243400000,Dwayne Johnson
86834,2.526779,362637473,Russell Crowe
205587,2.523101,83719388,Robert Downey Jr.
256092,2.493306,0,Thomas Jane
232672,2.445165,123494610,Drew Barrymore
195589,2.376309,268157400,Seth Rogen
249164,2.361267,78874843,Chloë Grace Moretz
243683,2.303556,86165646,Ryan Guzman
200727,2.295091,4439431,Lily Collins
222935,2.293859,305151265,Shailene Woodley
244267,2.260131,336472,Michael Pitt
168530,2.165462,153997819,Ice Cube
244761,2.161064,1075178,Ryan Reynolds
171274,2.160156,11110975,Joaquin Phoenix
137094,2.141491,50549107,Chris Pine
225574,2.136758,222809600,Liam Neeson
206487,2.116264,3000000,Ethan Hawke
262543,2.103532,0,Antonio Banderas
321068,2.078514,0,Kevin Sorbo
154400,1.957672,18658381,Tom Hardy
97020,1.940735,239379423,Joel Kinnaman
157353,1.904422,103039258,Johnny Depp
193610,1.900038,196781193,Cameron Diaz
82703,1.894706,272912430,Ty Burrell
286532,1.875208,0,Robin Williams
189,1.840817,39407616,Mickey Rourke
297270,1.827148,0,Ginnifer Goodwin
172385,1.811692,500188435,Jesse Eisenberg
100042,1.805954,169837010,Jim Carrey
204922,1.7894,15060457,Nicole Kidman
152760,1.779861,154984035,Matt Damon
227306,1.769987,163442937,Jack O'Connell
273895,1.754707,66787908,David Oyelowo
265177,1.737699,3494070,Anne Dorval
255343,1.655717,0,Benicio del Toro
175112,1.649733,20300000,Mae Whitman
228970,1.649321,52501541,Reese Witherspoon
76649,1.638781,117831631,Kit Harington
239571,1.63015,35926213,Michelle Monaghan
