id,revenue,production_companies
300693,2541554,Echo Lake Entertainment
333381,0,Voltage Pictures
256924,10835752,Big Indie Pictures
253414,3020664,Shangri-La Entertainment
254172,0,Andrea Leone Films
320588,14444999,Red Crown Productions
157544,1784763,Lakeshore Entertainment
283235,1411927,Imagenation Abu Dhabi FZ
243938,12314651,Paramount Pictures
86835,0,Waypoint Entertainment
254905,143101,Worldview Entertainment
309242,0,Electric City Entertainment
332502,0,New Artists Alliance
286192,0,Pixar Animation Studios
284674,0,Automatik Entertainment
360055,0,Mainstay Productions
352179,0,Eclectic pictures
246127,8034,Neue Road Movies
338676,0,Vaca Films
330982,0,Hepp Film
232572,35991087,Wildwood Enterprises
112454,0,Zed Filmworks
243940,64110728,Lionsgate
321528,0,Warner Bros. Animation
317744,0,Hyde Park Entertainment
239573,14431253,Studio Babelsberg
167810,45431,Bold Films
319075,0,HBO Documentary Films
316042,0,Rhombus Media
334527,0,NeeNee Productions
300153,0,See-Saw Films
228203,45710059,Walt Disney Pictures
332704,0,Head Gear Films
278236,0,Original Pictures
276839,0,Darko Entertainment
326215,0,Skyline Entertainment
363689,0,Lighthouse Pictures
318256,0,Two to Tangle Productions
299245,42664410,New Line Cinema
333344,0,Horsethief Pictures
357096,0,Cinetel Films
309299,0,FJ Productions
314385,3334927,Plan B Entertainment
333596,0,Sony Pictures
361042,0,Sonar Entertainment
353686,0,Blumhouse Productions
318954,1236094,Burns Family Studios
289191,0,Zentropa Entertainments
324333,0,Patriot Pictures
252164,0,Isle of Man Film
360784,0,Primal Pictures
336313,157768,Freestyle Releasing
240483,0,British Film Institute (BFI)
321494,0,Living Films
353595,0,Warner Bros. Animation
264337,0,Brookwell-McNamara Entertainment
289716,0,Myriad Pictures
296065,0,Skyra Entertainment
337029,0,Eclectic pictures
317952,0,The Documentary Group
325358,0,The Safran Company
272548,0,Nexus Factory
340275,0,40 Acres & A Mule Filmworks
309887,0,Sense and Sensibility Ventures
302429,13603453,Lucasfilm
253331,21571189,Treehouse Pictures
293771,0,Di Bonaventura Pictures
323373,0,The New Zealand Film Commission
323027,0,DC Comics
297806,1646788,Bron Studios
253626,316472,Voltage Pictures
354251,0,Willowbrook Regent Films
329637,0,ST Renegades
257444,0,Chiller Films
355338,0,Walt Disney Pictures
271736,3286448,StudioCanal
309581,0,A&E Television Networks
293970,0,Groundswell Productions
279690,0,Alternate Ending Studios
364067,0,American Zoetrope
318922,0,Altitude Film Entertainment
335077,0,Mr.Monster
266639,2333684,Universal Pictures
274504,0,RabbitBandini Productions
244316,0,Purple Pictures
352208,0,Dog Eat Dog Films
283587,90777,Participant Media
311539,0,Copperheart Entertainment
277713,0,Iris productions
347945,4505,Pop Films
344854,0,Kojo Pictures
234212,3387000,Icon Entertainment International
283596,0,Sigma Films Ltd.
250225,0,Pioneer Pictures
307479,0,WANGO Films
339145,0,Varient Busted Buggy Entertainmen
323660,0,The Asylum
308638,771317,Ealing Studios
359983,0,Walt Disney Television Animation
300155,228136,Ecosse Films
328595,0,Fox Digital Studios
327528,830129,New Real Films
329540,0,WWE Studios
306964,0,Epic Pictures Group
360387,0,ETA films
362185,0,Status Media & Entertainment
94365,0,Six Entertainment
241855,49970,XYZ Films
322518,0,Darius Films
291272,0,Dark Sky Films
324963,0,Mattel Playground Productions
342927,0,The Asylum
361159,0,Hollywood Media Bridge
365805,0,IW Wrecker Productions
351964,0,Skyhook Productions
362057,0,Blumhouse Productions
